id,dateutc,competition,season,venue,home_club,away_club,winner,goal_by_home_club,goal_by_away_club,referee_id
0,2018-05-20 18:45:00,Italian first division,2018,"""""",Lazio,Internazionale,Internazionale,2,3,356
1,2018-05-20 18:45:00,Italian first division,2018,MAPEI Stadium - Citt\u00e0 del Tricolore,Sassuolo,Roma,Roma,0,1,338
2,2018-05-20 16:00:00,Italian first division,2018,"""""",Cagliari,Atalanta,Cagliari,1,0,389
3,2018-05-20 16:00:00,Italian first division,2018,"""""",Chievo,Benevento,Chievo,1,0,107
4,2018-05-20 16:00:00,Italian first division,2018,"""""",Udinese,Bologna,Udinese,1,0,381
5,2018-05-20 16:00:00,Italian first division,2018,"""""",Napoli,Crotone,Napoli,2,1,248
6,2018-05-20 16:00:00,Italian first division,2018,"""""",Milan,Fiorentina,Milan,5,1,538
7,2018-05-20 16:00:00,Italian first division,2018,"""""",SPAL,Sampdoria,SPAL,3,1,72
8,2018-05-20 13:00:00,Italian first division,2018,"""""",Genoa,Torino,Torino,1,2,256
9,2018-05-19 13:00:00,Italian first division,2018,"""""",Juventus,Hellas Verona,Juventus,2,1,603
11,2018-05-13 18:45:00,Italian first division,2018,"""""",Sampdoria,Napoli,Napoli,0,2,381
13,2018-05-13 13:00:00,Italian first division,2018,"""""",Fiorentina,Cagliari,Cagliari,0,1,189
14,2018-05-13 13:00:00,Italian first division,2018,"""""",Bologna,Chievo,Chievo,1,2,575
16,2018-05-13 13:00:00,Italian first division,2018,"""""",Torino,SPAL,Torino,2,1,360
17,2018-05-13 13:00:00,Italian first division,2018,"""""",Hellas Verona,Udinese,Udinese,0,1,216
18,2018-05-12 18:45:00,Italian first division,2018,"""""",Internazionale,Sassuolo,Sassuolo,1,2,142
19,2018-05-12 16:00:00,Italian first division,2018,"""""",Benevento,Genoa,Benevento,1,0,192
20,2018-05-06 18:45:00,Italian first division,2018,"""""",Cagliari,Roma,Roma,0,1,72
21,2018-05-06 16:00:00,Italian first division,2018,"""""",Sassuolo,Sampdoria,Sassuolo,1,0,83
23,2018-05-06 13:00:00,Italian first division,2018,"""""",SPAL,Benevento,SPAL,2,0,498
24,2018-05-06 13:00:00,Italian first division,2018,"""""",Chievo,Crotone,Chievo,2,1,389
25,2018-05-06 13:00:00,Italian first division,2018,"""""",Genoa,Fiorentina,Fiorentina,2,3,619
27,2018-05-06 10:30:00,Italian first division,2018,"""""",Udinese,Internazionale,Internazionale,0,4,594
28,2018-05-05 18:45:00,Italian first division,2018,"""""",Juventus,Bologna,Juventus,3,1,67
29,2018-05-05 16:00:00,Italian first division,2018,"""""",Milan,Hellas Verona,Milan,4,1,107
30,2018-04-29 18:45:00,Italian first division,2018,"""""",Torino,Lazio,Lazio,0,1,67
31,2018-04-29 16:00:00,Italian first division,2018,"""""",Fiorentina,Napoli,Fiorentina,3,0,594
32,2018-04-29 13:00:00,Italian first division,2018,"""""",Sampdoria,Cagliari,Sampdoria,4,1,142
33,2018-04-29 13:00:00,Italian first division,2018,"""""",Atalanta,Genoa,Atalanta,3,1,538
34,2018-04-29 13:00:00,Italian first division,2018,"""""",Bologna,Milan,Milan,1,2,317
35,2018-04-29 13:00:00,Italian first division,2018,"""""",Hellas Verona,SPAL,SPAL,1,3,248
37,2018-04-29 10:30:00,Italian first division,2018,"""""",Crotone,Sassuolo,Crotone,4,1,80
38,2018-04-28 18:45:00,Italian first division,2018,"""""",Internazionale,Juventus,Juventus,2,3,359
39,2018-04-28 16:00:00,Italian first division,2018,"""""",Roma,Chievo,Roma,4,1,216
40,2018-04-23 18:45:00,Italian first division,2018,Stadio Comunale Luigi Ferraris,Genoa,Hellas Verona,Genoa,3,1,381
41,2018-04-22 18:45:00,Italian first division,2018,"""""",Juventus,Napoli,Napoli,0,1,356
42,2018-04-22 13:00:00,Italian first division,2018,"""""",Udinese,Crotone,Crotone,1,2,72
43,2018-04-22 13:00:00,Italian first division,2018,"""""",Chievo,Internazionale,Internazionale,1,2,189
44,2018-04-22 13:00:00,Italian first division,2018,"""""",Lazio,Sampdoria,Lazio,4,0,359
45,2018-04-22 13:00:00,Italian first division,2018,"""""",Atalanta,Torino,Atalanta,2,1,346
47,2018-04-21 18:45:00,Italian first division,2018,"""""",Milan,Benevento,Benevento,0,1,360
48,2018-04-21 16:00:00,Italian first division,2018,"""""",Sassuolo,Fiorentina,Sassuolo,1,0,67
49,2018-04-21 13:00:00,Italian first division,2018,"""""",SPAL,Roma,Roma,0,3,411
50,2018-04-18 18:45:00,Italian first division,2018,"""""",Sampdoria,Bologna,Sampdoria,1,0,619
52,2018-04-18 18:45:00,Italian first division,2018,"""""",Roma,Genoa,Roma,2,1,575
54,2018-04-18 18:45:00,Italian first division,2018,"""""",Fiorentina,Lazio,Lazio,3,4,80
56,2018-04-18 17:45:00,Italian first division,2018,"""""",Hellas Verona,Sassuolo,Sassuolo,0,1,498
57,2018-04-18 18:45:00,Italian first division,2018,"""""",Napoli,Udinese,Napoli,4,2,216
58,2018-04-18 16:00:00,Italian first division,2018,"""""",Benevento,Atalanta,Atalanta,0,3,517
59,2018-04-17 18:45:00,Italian first division,2018,"""""",Internazionale,Cagliari,Internazionale,4,0,107
61,2018-04-15 16:00:00,Italian first division,2018,"""""",Juventus,Sampdoria,Juventus,3,0,360
63,2018-04-15 13:00:00,Italian first division,2018,"""""",Bologna,Hellas Verona,Bologna,2,0,142
67,2018-04-14 16:00:00,Italian first division,2018,"""""",Genoa,Crotone,Genoa,1,0,67
69,2018-04-14 13:00:00,Italian first division,2018,"""""",Cagliari,Udinese,Cagliari,2,1,317
71,2018-04-08 16:00:00,Italian first division,2018,"""""",Udinese,Lazio,Lazio,1,2,356
72,2018-04-08 13:00:00,Italian first division,2018,"""""",Crotone,Bologna,Crotone,1,0,216
73,2018-04-08 13:00:00,Italian first division,2018,"""""",Hellas Verona,Cagliari,Hellas Verona,1,0,189
74,2018-04-08 13:00:00,Italian first division,2018,"""""",Napoli,Chievo,Napoli,2,1,619
75,2018-04-08 10:30:00,Italian first division,2018,"""""",Torino,Internazionale,Torino,1,0,411
78,2018-04-07 16:00:00,Italian first division,2018,"""""",Roma,Fiorentina,Fiorentina,0,2,538
79,2018-04-07 13:00:00,Italian first division,2018,Stadio Ciro Vigorito,Benevento,Juventus,Juventus,2,4,107
80,2018-04-04 16:30:00,Italian first division,2018,Stadio Olimpico Grande Torino,Torino,Crotone,Torino,4,1,498
83,2018-04-04 15:00:00,Italian first division,2018,Stadio Ciro Vigorito,Benevento,Hellas Verona,Benevento,3,0,153
84,2018-04-03 16:30:00,Italian first division,2018,Stadio Comunale Luigi Ferraris,Genoa,Cagliari,Genoa,2,1,460
85,2018-04-03 16:30:00,Italian first division,2018,Dacia Arena,Udinese,Fiorentina,Fiorentina,0,2,248
86,2018-04-03 16:30:00,Italian first division,2018,Stadio Atleti Azzurri d'Italia,Atalanta,Sampdoria,Sampdoria,1,2,107
87,2018-03-31 18:45:00,Italian first division,2018,"""""",Juventus,Milan,Juventus,3,1,594
89,2018-03-31 16:00:00,Italian first division,2018,"""""",Chievo,Sampdoria,Chievo,2,1,359
90,2018-03-31 13:00:00,Italian first division,2018,"""""",Lazio,Benevento,Lazio,6,2,216
91,2018-03-31 13:00:00,Italian first division,2018,"""""",Fiorentina,Crotone,Fiorentina,2,0,189
92,2018-03-31 13:00:00,Italian first division,2018,"""""",Internazionale,Hellas Verona,Internazionale,3,0,356
94,2018-03-31 13:00:00,Italian first division,2018,"""""",Cagliari,Torino,Torino,0,4,83
95,2018-03-31 13:00:00,Italian first division,2018,"""""",Atalanta,Udinese,Atalanta,2,0,575
98,2018-03-18 19:45:00,Italian first division,2018,"""""",Napoli,Genoa,Napoli,1,0,107
99,2018-03-18 14:00:00,Italian first division,2018,"""""",Hellas Verona,Atalanta,Atalanta,0,5,72
100,2018-03-18 14:00:00,Italian first division,2018,"""""",Benevento,Cagliari,Cagliari,1,2,619
101,2018-03-18 14:00:00,Italian first division,2018,"""""",Milan,Chievo,Milan,3,2,360
102,2018-03-18 14:00:00,Italian first division,2018,"""""",Torino,Fiorentina,Fiorentina,1,2,381
103,2018-03-18 14:00:00,Italian first division,2018,"""""",Crotone,Roma,Roma,0,2,248
104,2018-03-18 11:30:00,Italian first division,2018,"""""",Sampdoria,Internazionale,Internazionale,0,5,411
106,2018-03-17 17:00:00,Italian first division,2018,"""""",Udinese,Sassuolo,Sassuolo,1,2,142
