id,firstname,lastname,birthdate,country,position,foot,height
71,Pablo,Maffeo Becerra,1997-07-12,Spain,Defender,right,173
150,Vicente,Guaita Panadero,1987-01-10,Spain,Goalkeeper,right,190
161,Cristian,Portugués Manzanera,1992-05-21,Spain,Midfielder,right,178
216,Jonás,Ramalho Chimeno,1993-06-10,Spain,Defender,right,181
257,David,Timor Copoví,1989-10-17,Spain,Midfielder,left,186
282,Francisco,Portillo Soler,1990-06-13,Spain,Midfielder,right,169
287,Jorge,Molina Vidal,1982-04-22,Spain,Forward,right,188
304,Bernardo José,Espinosa Zúñiga,1989-07-11,Colombia,Defender,right,192
311,Cristhian Ricardo,Stuani Curbelo,1986-10-12,Uruguay,Forward,right,184
359,Damián Nicolás,Suárez Suárez,1988-04-27,Uruguay,Defender,right,172
378,Ángel Luis,Rodríguez Díaz,1987-04-26,Spain,Forward,right,172
389,Borja,García Freire,1990-11-02,Spain,Midfielder,right,175
403,Juan Pedro,Ramírez López,1991-06-30,Spain,Defender,right,190
442,Sergio,Mora Sánchez,1979-08-30,Spain,Midfielder,right,182
575,Francesc Aday,Benítez Caraballo,1987-12-16,Spain,Defender,right,179
1242,Amath,Diedhiou Ndiaye,1996-07-16,Senegal,Forward,right,173
1314,Alejandro,Granell Nogué,1988-08-02,Spain,Midfielder,left,175
1460,Aleix,García Serrano,1997-06-28,Spain,Midfielder,right,173
1673,Djené,Dakonam Ortega,1991-12-31,Togo,Defender,right,187
1739,Yassine,Bounou,1991-04-05,Canada,Goalkeeper,left,192
1839,Mauro Wilney,Arambarri Rosa,1995-09-30,Uruguay,Midfielder,right,175
2065,Johan Andrés,Mojica Palacio,1992-08-21,Colombia,Defender,left,179
2162,Vitorino Gabriel,Pacheco Antunes,1987-04-01,Portugal,Defender,left,176
2215,Gaku,Shibasaki,1992-05-25,Japan,Midfielder,right,175
3217,Jefferson Antonio,Montero Vite,1989-09-01,Ecuador,Midfielder,right,169
3234,Juan,Torres Ruiz,1989-11-26,Spain,Defender,right,186
3235,Olarenwaju Ayoba,Kayode,1993-05-08,Nigeria,Forward,right,176
