,Dom_Ext,CLB_Nb_jours,ADV_Nb_jours,Écart_Série_vic,Écart_Série_vic_5,Écart_Série_vic_3,Écart_Série_vic_1,Écart_Buts_diff,Écart_Buts_diff_5,Écart_Buts_diff_3,Écart_Buts_diff_1,Écart_Buts_pour,Écart_Buts_pour_5,Écart_Buts_pour_3,Écart_Buts_pour_1,Écart_Buts_contre,Écart_Buts_contre_5,Écart_Buts_contre_3,Écart_Buts_contre_1,Écart_Activité_att_5,Écart_Activité_att_3,Écart_Activité_att_1,Écart_Activité_def_5,Écart_Activité_def_3,Écart_Activité_def_1,Écart_Arrêts_5,Écart_Arrêts_3,Écart_Arrêts_1,Écart_Fautes_5,Écart_Fautes_3,Écart_Fautes_1,Écart_Passes_5,Écart_Passes_3,Écart_Passes_1,Écart_Tirs_5,Écart_Tirs_3,Écart_Tirs_1,[Résultat],[CLB_Buts],[ADV_Buts]
426,1.0,7.0,6.0,1.0,1.0,0.0,0.0,6,5,-1,1,1,1,-1,0,5,4,0,1,477.0,244.0,100.0,-358.0,-3.0,-60.0,-1.0,-2.0,-1.0,-2.0,2.0,-3.0,5.0,6.0,-1.0,11.0,9.0,-5.0,1.0,1,0
427,0.0,6.0,7.0,-1.0,-1.0,0.0,0.0,-6,-5,1,-1,-1,-1,1,0,-5,-4,0,-1,-477.0,-244.0,-100.0,358.0,3.0,60.0,1.0,2.0,1.0,2.0,-2.0,3.0,-5.0,-6.0,1.0,-11.0,-9.0,5.0,0.0,0,1
450,1.0,8.0,8.0,-2.0,-2.0,-3.0,-1.0,-6,-6,-9,-4,0,0,-3,-1,-6,-6,-6,-3,286.0,249.0,76.0,15.0,60.0,-130.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,7.0,12.0,-3.0,4.0,0.0,-5.0,0.0,1,2
451,0.0,8.0,8.0,2.0,2.0,3.0,1.0,6,6,9,4,0,0,3,1,6,6,6,3,-286.0,-249.0,-76.0,-15.0,-60.0,130.0,1.0,-3.0,-1.0,2.0,2.0,2.0,-7.0,-12.0,3.0,-4.0,0.0,5.0,1.0,2,1
462,1.0,7.0,9.0,1.0,1.0,0.0,1.0,3,3,-1,3,0,0,-1,2,3,3,0,1,17.0,-52.0,55.0,367.0,142.0,-14.0,-7.0,-7.0,0.0,7.0,2.0,0.0,21.0,18.0,2.0,2.0,-7.0,-9.0,1.0,2,0
463,0.0,9.0,7.0,-1.0,-1.0,0.0,-1.0,-3,-3,1,-3,0,0,1,-2,-3,-3,0,-1,-17.0,52.0,-55.0,-367.0,-142.0,14.0,7.0,7.0,0.0,-7.0,-2.0,0.0,-21.0,-18.0,-2.0,-2.0,7.0,9.0,0.0,0,2
472,1.0,7.0,11.0,0.0,0.0,0.0,0.0,3,3,2,1,1,1,1,1,2,2,1,0,-144.0,-58.0,-26.0,-276.0,-247.0,-100.0,5.0,8.0,2.0,-2.0,1.0,0.0,11.0,6.0,0.0,10.0,14.0,0.0,1.0,2,1
473,0.0,11.0,7.0,0.0,0.0,0.0,0.0,-3,-3,-2,-1,-1,-1,-1,-1,-2,-2,-1,0,144.0,58.0,26.0,276.0,247.0,100.0,-5.0,-8.0,-2.0,2.0,-1.0,0.0,-11.0,-6.0,0.0,-10.0,-14.0,0.0,0.0,1,2
484,1.0,7.0,11.0,4.0,4.0,2.0,0.0,14,14,8,3,5,5,1,0,9,9,7,3,140.0,-42.0,-10.0,102.0,87.0,17.0,-16.0,-12.0,-4.0,3.0,0.0,-1.0,35.0,29.0,-1.0,4.0,0.0,0.0,1.0,2,0
485,0.0,11.0,7.0,-4.0,-4.0,-2.0,0.0,-14,-14,-8,-3,-5,-5,-1,0,-9,-9,-7,-3,-140.0,42.0,10.0,-102.0,-87.0,-17.0,16.0,12.0,4.0,-3.0,0.0,1.0,-35.0,-29.0,1.0,-4.0,0.0,0.0,0.0,0,2
496,1.0,6.0,7.0,3.0,3.0,2.0,1.0,10,9,7,2,2,3,2,2,8,6,5,0,-74.0,-30.0,44.0,-12.0,-21.0,-143.0,-2.0,-5.0,3.0,-2.0,0.0,-3.0,-4.0,-19.0,-9.0,-9.0,-14.0,-12.0,1.0,1,0
