,426,427
Dom_Ext,1.0,0.0
CLB_Nb_jours,7.0,6.0
ADV_Nb_jours,6.0,7.0
Écart_Série_vic,1.0,-1.0
Écart_Série_vic_5,1.0,-1.0
Écart_Série_vic_3,0.0,0.0
Écart_Série_vic_1,0.0,0.0
Écart_Buts_diff,6.0,-6.0
Écart_Buts_diff_5,5.0,-5.0
Écart_Buts_diff_3,-1.0,1.0
Écart_Buts_diff_1,1.0,-1.0
Écart_Buts_pour,1.0,-1.0
Écart_Buts_pour_5,1.0,-1.0
Écart_Buts_pour_3,-1.0,1.0
Écart_Buts_pour_1,0.0,0.0
Écart_Buts_contre,5.0,-5.0
Écart_Buts_contre_5,4.0,-4.0
Écart_Buts_contre_3,0.0,0.0
Écart_Buts_contre_1,1.0,-1.0
Écart_Activité_att_5,477.0,-477.0
Écart_Activité_att_3,244.0,-244.0
Écart_Activité_att_1,100.0,-100.0
Écart_Activité_def_5,-358.0,358.0
Écart_Activité_def_3,-3.0,3.0
Écart_Activité_def_1,-60.0,60.0
Écart_Arrêts_5,-1.0,1.0
Écart_Arrêts_3,-2.0,2.0
Écart_Arrêts_1,-1.0,1.0
Écart_Fautes_5,-2.0,2.0
Écart_Fautes_3,2.0,-2.0
Écart_Fautes_1,-3.0,3.0
Écart_Passes_5,5.0,-5.0
Écart_Passes_3,6.0,-6.0
Écart_Passes_1,-1.0,1.0
Écart_Tirs_5,11.0,-11.0
Écart_Tirs_3,9.0,-9.0
Écart_Tirs_1,-5.0,5.0
[Résultat],1.0,0.0
[CLB_Buts],1.0,0.0
[ADV_Buts],0.0,1.0
