,2678,2679
Date,2018-05-20 18:45:00,2018-05-20 18:45:00
Club,Lazio,Internazionale
Club_ADV,Internazionale,Lazio
Période_jour,4.0,4.0
Arbitre_id,356,356
Match_id,0,0
Dom_Ext,1.0,0.0
CLB_Série_vic,21.0,19.0
CLB_Tot_buts_pour,77,57
CLB_Tot_buts_contre,36,22
CLB_Tot_buts_diff,41,35
CLB_Série_vic_5,5.0,3.0
CLB_Tot_buts_pour_5,17,13
CLB_Tot_buts_contre_5,6,6
CLB_Tot_buts_diff_5,11,7
CLB_Série_vic_3,3.0,1.0
CLB_Tot_buts_pour_3,9,7
CLB_Tot_buts_contre_3,3,5
CLB_Tot_buts_diff_3,6,2
CLB_Série_vic_1,1.0,0.0
CLB_Tot_buts_pour_1,1,1
CLB_Tot_buts_contre_1,0,2
CLB_Tot_buts_diff_1,1,-1
CLB_Nb_jours,21.0,8.0
ADV_Série_vic,19.0,21.0
ADV_Tot_buts_pour,57,77
ADV_Tot_buts_contre,22,36
ADV_Tot_buts_diff,35,41
ADV_Série_vic_5,3.0,5.0
ADV_Tot_buts_pour_5,13,17
ADV_Tot_buts_contre_5,6,6
ADV_Tot_buts_diff_5,7,11
ADV_Série_vic_3,1.0,3.0
ADV_Tot_buts_pour_3,7,9
ADV_Tot_buts_contre_3,5,3
ADV_Tot_buts_diff_3,2,6
ADV_Série_vic_1,0.0,1.0
ADV_Tot_buts_pour_1,1,1
ADV_Tot_buts_contre_1,2,0
ADV_Tot_buts_diff_1,-1,1
ADV_Nb_jours,8.0,21.0
[Résultat],0.0,1.0
[CLB_Buts],2,3
[ADV_Buts],3,2
(Tirs_Équipe_2H),5.0,0.0
(Tirs_Équipe_1H),8.0,0.0
(Tirs_Milieux_2H),3.0,0.0
(Tirs_Milieux_1H),5.0,0.0
(Tirs_Défenseurs_2H),2.0,0.0
(Tirs_Défenseurs_1H),1.0,0.0
(Tirs_Attaquants_2H),0.0,0.0
(Tirs_Attaquants_1H),2.0,0.0
(Passes_Équipe_2H),4.0,5.0
(Passes_Équipe_1H),3.0,2.0
(Fautes_Équipe_2H),1.0,4.0
(Fautes_Équipe_1H),0.0,0.0
(Fautes_Milieux_2H),1.0,1.0
(Fautes_Milieux_1H),0.0,0.0
(Fautes_Gardiens_2H),0.0,1.0
(Fautes_Gardiens_1H),0.0,0.0
(Fautes_Défenseurs_2H),0.0,2.0
(Fautes_Défenseurs_1H),0.0,0.0
(Fautes_Attaquants_2H),0.0,0.0
(Fautes_Attaquants_1H),0.0,0.0
(Arrêts_Gardiens_2H),2.0,1.0
(Arrêts_Gardiens_1H),2.0,2.0
(Activité_Équipe_2H),307.0,378.0
(Activité_Équipe_1H),311.0,419.0
(Activité_Milieux_2H),220.0,174.0
(Activité_Milieux_1H),212.0,222.0
(Activité_Défenseurs_2H),78.0,161.0
(Activité_Défenseurs_1H),71.0,188.0
(Activité_Attaquants_2H),9.0,43.0
(Activité_Attaquants_1H),28.0,9.0
CLB_Act_Tot_att_1H_5,164.0,156.0
CLB_Act_Tot_att_1H_3,94.0,46.0
CLB_Act_Tot_att_1H_1,37.0,15.0
CLB_Act_Tot_att_2H_5,164.0,167.0
CLB_Act_Tot_att_2H_3,92.0,96.0
CLB_Act_Tot_att_2H_1,25.0,59.0
CLB_Act_Tot_att_3H_5,328.0,323.0
CLB_Act_Tot_att_3H_3,186.0,142.0
CLB_Act_Tot_att_3H_1,62.0,74.0
CLB_Act_Tot_def_1H_5,669.0,887.0
CLB_Act_Tot_def_1H_3,354.0,472.0
CLB_Act_Tot_def_1H_1,93.0,203.0
CLB_Act_Tot_def_2H_5,539.0,863.0
CLB_Act_Tot_def_2H_3,257.0,512.0
CLB_Act_Tot_def_2H_1,76.0,208.0
CLB_Act_Tot_def_3H_5,1208.0,1750.0
CLB_Act_Tot_def_3H_3,611.0,984.0
CLB_Act_Tot_def_3H_1,169.0,411.0
CLB_Gar_Tot_1H_5,6.0,6.0
CLB_Gar_Tot_1H_3,3.0,2.0
CLB_Gar_Tot_1H_1,1.0,1.0
CLB_Gar_Tot_2H_5,5.0,6.0
CLB_Gar_Tot_2H_3,5.0,5.0
CLB_Gar_Tot_2H_1,2.0,2.0
CLB_Gar_Tot_3H_5,11.0,12.0
CLB_Gar_Tot_3H_3,8.0,7.0
