id,firstname,lastname,birthdate,country,position,foot,height
0,Harun,Tekin,1989-06-17,Turkey,Goalkeeper,right,187
1,Malang,Sarr,1999-01-23,France,Defender,left,182
2,Over,Mandanda,1998-10-26,France,Goalkeeper,"""""",176
3,Alfred John Momar,N'Diaye,1990-03-06,France,Midfielder,right,187
4,Ibrahima,Konat\u00e9,1999-05-25,France,Defender,right,192
5,Jasper,Cillessen,1989-04-22,Netherlands,Goalkeeper,right,185
6,Toby,Alderweireld,1989-03-02,Belgium,Defender,right,187
7,Jan,Vertonghen,1987-04-24,Belgium,Defender,left,189
8,Alexander,Djiku,1994-08-09,France,Defender,right,182
9,Christian,Dannemann Eriksen,1992-02-14,Denmark,Midfielder,right,180
10,Marcel,Sabitzer,1994-03-17,Austria,Midfielder,right,177
11,Kolbeinn,Sig\u00fe\u00f3rsson,1990-03-14,Iceland,Forward,right,186
12,Charles,Traor\u00e9,1992-01-01,Mali,Defender,left,180
13,Niklas,Moisander,1985-09-29,Finland,Defender,left,183
14,Charlison,Benschop,1989-08-21,Cura\u00e7ao,Forward,right,191
15,Johann,Berg Gu\u00f0munds\u00adson,1990-10-27,Iceland,Midfielder,left,186
16,Przemys\u0142aw,Tyto\u0144,1987-01-04,Poland,Goalkeeper,right,194
17,Marcelo Ant\u00f4nio,Guedes Filho,1987-05-20,Brazil,Defender,right,191
18,Jetro,Willems,1994-03-30,Netherlands,Defender,left,169
19,Ali Adnan Kadhim,Al Tameemi,1993-12-19,Iraq,Defender,left,186
20,Kevin,Strootman,1990-02-13,Netherlands,Midfielder,left,186
21,Memphis,Depay,1994-02-13,Netherlands,Forward,right,176
22,Dries,Mertens,1987-05-06,Belgium,Forward,right,169
23,Ola,Toivonen,1986-07-03,Sweden,Forward,right,192
24,Stefan,de Vrij,1992-02-05,Netherlands,Defender,right,189
25,Karim,El Ahmadi Al Aroos,1985-01-27,Netherlands,Midfielder,right,179
26,John,Guidetti,1992-04-15,Sweden,Forward,right,185
27,Volkan,Babacan,1988-08-11,Turkey,Goalkeeper,right,192
28,Jeffrey,Gouweleeuw,1991-07-10,Netherlands,Defender,right,188
29,Filip,\u0110uri\u010di\u0107,1992-01-30,Serbia,Midfielder,right,181
30,Peter,Pekar\u00edk,1986-10-30,Slovakia,Defender,right,176
31,Jago\u0161,Vukovi\u0107,1988-06-10,Serbia,Defender,left,195
32,Nordin,Amrabat,1987-03-31,Netherlands,Forward,right,178
33,Christian,Kouakou Yao,1991-03-01,C\u00f4te d'Ivoire,Forward,right,182
34,Roberto Jos\u00e9,Rosales Altuve,1988-11-20,Venezuela,Defender,right,175
35,Nacer,Chadli,1989-08-02,Belgium,Midfielder,right,187
36,Robin,Gosens,1994-06-05,Germany,Defender,left,183
37,Yacine,Bammou,1991-09-11,France,Forward,right,188
38,Florian,Le Joncour,1995-02-03,France,Defender,left,193
39,Andr\u00e9,Ramalho Silva,1992-02-16,Brazil,Defender,right,182
40,Davide,Borsellini,1999-01-04,Italy,Goalkeeper,left,180
41,Leon-Aderemi,Balogun,1988-06-28,Germany,Defender,right,190
42,Godfred,Donsah,1996-06-07,Ghana,Midfielder,right,175
43,Hyun-Jun,Suk,1991-06-29,Korea Republic,Forward,right,190
44,Du\u0161an,Tadi\u0107,1988-11-20,Serbia,Midfielder,left,181
45,Bram,Nuytinck,1990-05-04,Netherlands,Defender,left,190
46,Lasse,Sch\u00f6ne,1986-05-27,Denmark,Midfielder,right,177
47,Ablie,Jallow,1998-11-14,Gambia,Midfielder,left,166
48,Bogdan Sorin,Stancu,1987-06-28,Romania,Forward,right,183
49,Gregor,Kobel,1997-12-06,Switzerland,Goalkeeper,right,194
50,Denis Lemi,Zakaria Lako Lado,1996-11-20,Switzerland,Midfielder,right,191
51,Marten,de Roon,1991-03-29,Netherlands,Midfielder,right,185
52,Alex,Iwobi,1996-05-03,Nigeria,Midfielder,right,180
53,Lorenzo,Pellegrini,1996-06-19,Italy,Midfielder,right,186
54,Mohamed Salim,Fares,1996-02-15,France,Forward,left,183
55,Ot\u00e1vio Henrique,Passos Santos,1994-05-04,Brazil,Midfielder,right,176
56,Hern\u00e1n Dar\u00edo,Toledo,1996-01-17,Argentina,Forward,right,180
57,Maya,Yoshida,1988-08-24,Japan,Defender,right,189
58,Bryan,Passi,1997-08-05,France,Defender,right,189
59,Hamza,Mendyl,1997-10-21,Morocco,Defender,left,179
60,Anthony,Caci,1997-07-01,France,Midfielder,right,184
61,Miguel \u00c1ngel,Guerrero Mart\u00edn,1990-07-12,Spain,Forward,right,182
62,R\u00f3bert,Maz\u00e1\u0148,1994-02-09,Slovakia,Defender,left,180
