id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2182818,6,985,287,1H,1037.927012,Others on the ball,Touch,missed ball,58,17,74.0,18.0,
2183239,6,985,378,2H,70.86034800000016,Others on the ball,Touch,missed ball,91,65,93.0,61.0,
2182675,6,985,378,1H,428.48219300000005,Others on the ball,Touch,missed ball,56,31,55.0,33.0,
2183192,6,985,442,1H,2592.509527,Others on the ball,Touch,missed ball,52,78,55.0,52.0,
2183070,6,985,1242,1H,2159.87708,Others on the ball,Touch,missed ball,62,95,60.0,100.0,
2183704,6,985,282,2H,2112.0762000000004,Others on the ball,Touch,missed ball,78,77,78.0,68.0,
2183031,59,985,2065,1H,1913.393243,Others on the ball,Touch,missed ball,97,15,99.0,31.0,
2183677,59,985,257,2H,1973.149972,Others on the ball,Touch,missed ball,78,56,87.0,75.0,
2182646,6,985,3234,1H,235.201433,Foul,Foul,,37,36,36.0,31.0,
2182681,59,985,2065,1H,438.912906,Foul,Foul,,33,10,38.0,7.0,
2182770,59,985,1314,1H,759.376315,Others on the ball,Touch,,59,88,68.0,98.0,
2182790,59,985,1739,1H,924.864307,Free Kick,Goal kick,,0,0,19.0,12.0,
2182859,6,985,378,1H,1214.024224,Offside,,,67,78,100.0,100.0,
2182913,6,985,150,1H,1480.14505,Free Kick,Goal kick,,100,100,62.0,25.0,
2182938,59,985,311,1H,1579.927263,Foul,Foul,,61,38,59.0,33.0,
2183042,59,985,2065,1H,1982.575707,Foul,Foul,,15,6,17.0,6.0,
2183094,59,985,1739,1H,2263.06451,Free Kick,Goal kick,,0,0,61.0,86.0,
2183163,59,985,311,1H,2481.056487,Foul,Foul,,61,20,66.0,16.0,
2183279,6,985,359,2H,170.02095000000008,Foul,Foul,,74,72,73.0,73.0,
2183320,6,985,3234,2H,311.7100599999999,Foul,Foul,,37,35,34.0,33.0,
2183354,59,985,311,2H,504.33894999999984,Foul,Foul,,73,5,70.0,6.0,
2183394,59,985,311,2H,631.4542040000001,Foul,Foul,,89,69,85.0,74.0,
2183448,6,985,150,2H,883.8770789999999,Free Kick,Goal kick,,100,100,58.0,35.0,
2183514,6,985,150,2H,1282.314558,Goalkeeper leaving line,Goalkeeper leaving line,,100,100,31.0,7.0,
2183555,6,985,3217,2H,1404.955067,Others on the ball,Touch,,84,4,89.0,10.0,
2183605,6,985,3234,2H,1635.0160450000003,Others on the ball,Touch,,30,45,46.0,46.0,
2183632,6,985,378,2H,1732.870175,Foul,Hand foul,,91,45,100.0,100.0,
2183664,6,985,287,2H,1918.1859160000004,Foul,Foul,,47,70,46.0,71.0,
2183728,59,985,1314,2H,2180.64901,Foul,Foul,,68,21,71.0,27.0,
2183807,59,985,1739,2H,2554.919623,Free Kick,Goal kick,,0,0,57.0,83.0,
2183836,6,985,2215,2H,2706.690775,Offside,,,87,90,100.0,100.0,
2182624,6,985,378,1H,78.907644,Others on the ball,Touch,,98,21,89.0,6.0,
2182663,59,985,161,1H,386.1838330000001,Others on the ball,Touch,,75,36,36.0,100.0,
2182726,59,985,389,1H,604.662729,Foul,Foul,,42,20,46.0,3.0,
2182775,6,985,150,1H,803.231863,Goalkeeper leaving line,Goalkeeper leaving line,,100,100,29.0,8.0,
2182841,59,985,1739,1H,1115.576716,Free Kick,Goal kick,,0,0,33.0,75.0,
2182873,6,985,378,1H,1337.016435,Offside,,,73,47,100.0,100.0,
2182921,6,985,1673,1H,1510.118459,Others on the ball,Touch,,53,62,67.0,90.0,
2183033,6,985,150,1H,1940.052457,Free Kick,Goal kick,,100,100,39.0,36.0,
2183082,6,985,378,1H,2196.316339,Offside,,,67,69,100.0,100.0,
2183136,6,985,287,1H,2388.706528,Others on the ball,Touch,,55,39,53.0,35.0,
2183202,6,985,287,1H,2634.78635,Foul,Foul,,64,65,66.0,63.0,
2183291,59,985,389,2H,220.9206340000001,Others on the ball,Touch,,69,8,72.0,5.0,
2183333,6,985,282,2H,421.41850000000017,Others on the ball,Touch,,84,3,71.0,0.0,
2183378,59,985,71,2H,564.0463650000002,Others on the ball,Touch,,77,93,86.0,100.0,
2183410,6,985,1242,2H,679.906575,Foul,Foul,,96,84,96.0,81.0,
2183474,59,985,1314,2H,1068.705805,Foul,Foul,,77,67,77.0,72.0,
2183540,59,985,1739,2H,1382.845687,Free Kick,Goal kick,,0,0,62.0,37.0,
2183579,6,985,3217,2H,1502.8708070000002,Offside,,,78,18,100.0,100.0,
2183627,6,985,442,2H,1720.778765,Others on the ball,Touch,,43,52,55.0,34.0,
2183648,59,985,1739,2H,1861.369451,Goalkeeper leaving line,Goalkeeper leaving line,,0,0,0.0,100.0,
2183697,59,985,161,2H,2078.419658,Offside,,,73,77,0.0,0.0,
2183789,6,985,282,2H,2493.3534950000003,Others on the ball,Touch,,52,67,65.0,42.0,
2183827,59,985,1739,2H,2639.171067,Free Kick,Goal kick,,0,0,63.0,17.0,
2183880,59,985,1739,2H,2926.658545,Free Kick,Goal kick,,0,0,60.0,96.0,
2182653,6,985,287,1H,341.437311,Offside,,,71,34,100.0,100.0,
2182704,59,985,311,1H,532.33345,Foul,Foul,,39,47,39.0,46.0,
2182773,6,985,2162,1H,763.85666,Foul,Foul,,35,3,32.0,2.0,
2182797,59,985,1314,1H,974.650324,Others on the ball,Touch,,70,98,74.0,97.0,
2182871,6,985,359,1H,1330.426446,Others on the ball,Touch,,20,88,38.0,83.0,
2182918,59,985,1314,1H,1488.364996,Foul,Foul,,30,98,34.0,97.0,
2183029,6,985,2162,1H,1877.757863,Foul,Foul,,40,11,40.0,13.0,
2183053,6,985,378,1H,2045.950237,Foul,Foul,,62,60,65.0,64.0,
2183133,6,985,378,1H,2355.916732,Foul,Foul,,86,37,86.0,33.0,
2183198,59,985,311,1H,2604.297561,Foul,Foul,,94,38,94.0,36.0,
2183283,59,985,311,2H,198.96513999999976,Foul,Foul,,69,65,74.0,70.0,
2183328,6,985,150,2H,405.8124499999999,Free Kick,Goal kick,,100,100,21.0,78.0,
2183371,6,985,1839,2H,540.042786,Foul,Foul,,44,91,40.0,94.0,
2183398,6,985,378,2H,655.0390659999998,Others on the ball,Touch,,78,27,54.0,32.0,
2183468,6,985,378,2H,1021.0234650000002,Offside,,,90,72,100.0,100.0,
2183517,6,985,3217,2H,1301.267707,Others on the ball,Touch,,80,5,93.0,9.0,
2183565,6,985,2215,2H,1439.6270080000004,Foul,Foul,,85,58,86.0,62.0,
2183614,59,985,1739,2H,1687.3415969999996,Free Kick,Goal kick,,0,0,67.0,63.0,
2183637,59,985,1460,2H,1799.7584820000002,Foul,Foul,,41,66,45.0,67.0,
2183679,6,985,287,2H,1975.0717590000004,Others on the ball,Touch,,40,2,39.0,7.0,
2183751,6,985,1673,2H,2322.1281870000003,Others on the ball,Touch,,44,62,54.0,59.0,
2183824,6,985,3234,2H,2603.121508,Others on the ball,Touch,,55,30,70.0,36.0,
2183855,6,985,1673,2H,2778.751509,Foul,Foul,,8,84,11.0,88.0,
2182643,59,985,1739,1H,229.930133,Free Kick,Goal kick,,0,0,64.0,69.0,
2182668,6,985,2162,1H,421.778627,Others on the ball,Touch,,23,12,26.0,18.0,
2182767,59,985,161,1H,755.320568,Others on the ball,Touch,,64,93,63.0,95.0,
2182782,59,985,257,1H,834.939069,Foul,Foul,,16,19,16.0,18.0,
2182847,6,985,1242,1H,1141.478811,Foul,Foul,,13,96,11.0,92.0,
2182902,6,985,1242,1H,1414.160564,Foul,Foul,,92,91,93.0,91.0,
2182935,59,985,1739,1H,1575.226649,Free Kick,Goal kick,,0,0,59.0,33.0,
2183036,59,985,161,1H,1966.475151,Foul,Foul,,62,68,61.0,64.0,
2183089,59,985,71,1H,2218.383923,Others on the ball,Touch,,34,100,23.0,100.0,
2183158,6,985,1673,1H,2429.717193,Foul,Foul,,54,72,57.0,70.0,
2183248,6,985,287,2H,87.70825000000013,Offside,,,83,95,100.0,100.0,
2183301,59,985,1314,2H,245.703888,Foul,Foul,,60,10,62.0,13.0,
2183338,6,985,282,2H,454.70543600000013,Foul,Foul,,96,7,93.0,9.0,
2183390,6,985,282,2H,602.2052180000001,Foul,Foul,,58,5,60.0,9.0,
2183432,6,985,1242,2H,769.9187350000002,Foul,Foul,,70,96,69.0,95.0,
2183477,6,985,359,2H,1112.22644,Others on the ball,Touch,,31,80,56.0,89.0,
2183552,6,985,442,2H,1394.306248,Others on the ball,Touch,,38,86,42.0,49.0,
2183583,59,985,311,2H,1545.2687999999998,Foul,Foul,,78,75,73.0,83.0,
2183631,6,985,378,2H,1731.232073,Others on the ball,Touch,,91,49,91.0,45.0,
2183654,59,985,1739,2H,1869.096507,Goalkeeper leaving line,Goalkeeper leaving line,,0,0,10.0,85.0,
2183715,6,985,3217,2H,2124.64472,Foul,Foul,,71,12,73.0,17.0,
2183792,6,985,442,2H,2502.5265710000003,Others on the ball,Touch,,52,62,67.0,74.0,
2183831,59,985,403,2H,2644.175876,Foul,Foul,,40,15,41.0,17.0,
2183882,6,985,287,2H,2933.215104,Others on the ball,Touch,,73,41,71.0,46.0,
2182868,6,985,1839,1H,1268.087774,Foul,Foul,yellow_card,37,41,37.0,40.0,
2183683,6,985,287,2H,1981.719485,Foul,Out of game foul,yellow_card,39,1,100.0,100.0,
2183321,6,985,3234,2H,316.20722100000006,Foul,Protest,yellow_card,33,38,,,
